what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350211909147
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350211909888
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350211910546
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350211911585
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350216100287
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350216101664
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350216103214
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350216103516
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.700.v201104070312,"org.eclipse.jst.ws.axis.creation.ui",1350216103736
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.505.v201004211805,"org.eclipse.jst.ws.axis.consumption.ui",1350216103749
stopped,bundle,org.eclipse.jst.ws.axis.consumption.core,1.0.407.v201104071820,"org.eclipse.jst.ws.axis.consumption.core",1350216103759
